"Region","year","mean","count","sd","se"
"North",1959,6.01166067813747,1096,2.00837059160156,0.0606650522990551
"North",1960,6.42541176883697,1096,2.34589405585365,0.0708603213876564
"North",1961,5.80262923559963,1096,2.29902048360276,0.0694444533581526
"North",1962,6.21753535356723,1096,2.44683881190018,0.073909469254333
"North",1963,6.25525974673958,1096,2.56788418846388,0.077565778568213
"North",1964,6.02375936377458,1096,1.8915241247051,0.0571355756900688
"North",1965,5.58631787573357,1096,2.61700855367503,0.079049634285457
"North",1966,5.4555966906551,1096,1.93278633695333,0.0583819463920105
"North",1967,6.36704995297074,1096,2.63946640469185,0.0797279984838557
"North",1968,5.38374785804732,1096,2.87756276719044,0.0869199621302034
"North",1969,5.08536822881644,1096,2.019052314622,0.0609877055426292
"North",1970,6.32911842508769,1096,2.48212959248834,0.0749754662665418
"North",1971,5.80153944198474,1096,1.98052759519056,0.0598240238352351
"North",1972,7.20021610653695,1096,2.47538561586212,0.0747717570027016
"North",1973,6.29172409096837,1096,1.87140622872567,0.0565278924184441
"North",1974,7.80193797832249,1096,2.02005950437193,0.0610181288216346
"North",1975,7.27306156642624,1096,2.06475953136108,0.0623683425154645
"North",1976,7.81655181664155,1096,2.86837560128928,0.0866424536354043
"North",1977,4.94672706383433,1096,2.72136767199882,0.0822019167364499
"North",1978,6.63355908190531,1096,3.17073193968935,0.0957754608396991
"North",1979,5.75693408041208,1096,2.80459297133039,0.0847158288389607
"North",1980,5.32835538228691,1096,2.64187867690882,0.0798008638309258
"North",1981,4.86458328221436,1096,2.35077204550157,0.0710076664535236
"North",1982,5.38261968930529,1096,2.52751448945322,0.0763463672145416
"North",1983,7.02214164717837,1096,2.46934083484465,0.0745891677146018
"North",1984,6.92474798405419,1096,2.74373852898182,0.0828776531839578
"North",1985,6.78639739187365,1096,2.99058131226583,0.0903338121320069
"North",1986,7.62466185679178,1096,2.9379705564089,0.0887446461340086
"North",1987,5.85871435071369,1096,2.8135744084026,0.0849871230672197
"North",1988,6.81662458654907,1096,3.03436314056416,0.0916562906200776
"North",1989,6.44517840040791,1096,3.06476095251499,0.0925744901094972
"North",1990,8.03199999216377,1096,2.86668598999545,0.086591417059817
"North",1991,7.42115584543357,1096,2.49547679695157,0.0753786333215634
"North",1992,6.93521846925203,1096,2.87877953421525,0.0869567159223094
"North",1993,5.56742906574219,1096,2.40176640760537,0.0725480074926329
"North",1994,6.30696006115072,1096,3.16646098122351,0.0956464518212536
"North",1995,7.46645581779926,1096,2.98971477696996,0.0903076374761628
"North",1996,5.6275533899059,1096,2.87992309138334,0.0869912583298209
"North",1997,8.14986017163181,1096,2.39511327919369,0.0723470423994699
"North",1998,6.0300822025451,1096,1.15628221162061,0.0349267815082346
"North",1999,8.18261387303169,1096,3.03603223518401,0.0917067074668631
"North",2000,7.61266374909355,1096,2.51738084316677,0.0760402692341599
"North",2001,6.97950933042133,1096,2.88378035819029,0.0871077713347184
"North",2002,8.56017067107434,1096,2.44491551735695,0.0738513740180557
"North",2003,5.64935123004174,1096,2.62148403631627,0.0791848211825514
"North",2004,5.00243390336925,1096,2.45520393398574,0.0741621470075976
"North",2005,5.5388023620181,1096,2.26539799937419,0.0684288490803966
"North",2006,8.35848634302042,1096,2.72810624757474,0.0824054628555994
"North",2007,7.4435255051108,1096,2.65530225174243,0.0802063377373484
"North",2008,7.24492639795674,1096,2.36317038570989,0.071382172015547
"North",2009,8.42816796067171,1096,3.2496531200678,0.0981593622746152
"North",2010,6.41759038131816,1096,2.45588289726385,0.074182655843441
"North",2011,6.20620474209272,1096,2.69466435675292,0.0813953136011893
"North",2012,10.4473333211673,1096,2.24477936952152,0.0678060405889868
"North",2013,7.35307810469244,1096,2.4260902699429,0.073282736624294
"North",2014,6.99003304745614,1096,2.59898976746367,0.078505356943193
"North",2015,7.76357228154101,1096,2.73555707625871,0.0826305233666796
"North",2016,8.41881798443649,1096,2.92156598799903,0.0882491280236109
"North",2017,7.83756471687966,1096,2.30771954136983,0.0697072180075648
"North",2018,7.16937530594854,1096,2.79687859600412,0.0844828076104188
"North",2019,7.31598239568238,1096,2.84951118539731,0.0860726331144988
"North",2020,8.93776726879033,1096,2.57651984383835,0.0778266280783181
"North",2021,8.18526547790775,1096,2.90938943608473,0.0878813218220104
"North",2022,8.09092649799322,1096,2.90636159705311,0.0877898625993081
